original_title,original_artist,spotify_title,spotify_artist,album,release_date,popularity,duration_ms,explicit,album_cover,genres
Pariah,Cursed,Pariah,Cursed,One,2003-02-25,5,74680,False,https://i.scdn.co/image/ab67616d0000b273cc45f4c842ce72d1ab0c14e9,"['canadian hardcore', 'canadian punk', 'chaotic hardcore', 'powerviolence', 'sludge metal']"
Keep It Alive,Lee Ritenour,Keep It Alive,Lee Ritenour,Rit/2,1982-01-01,30,291840,False,https://i.scdn.co/image/ab67616d0000b27373f6184307d024998392cded,"['jazz funk', 'jazz fusion', 'jazz guitar', 'smooth jazz', 'yacht rock']"
Secret Smile,Semisonic,Secret Smile,Semisonic,Feeling Strangely Fine (20th Anniversary Edition),1998-03-24,54,279813,False,https://i.scdn.co/image/ab67616d0000b273fb304ec81a4ab3a5b5b7eea4,"['pop rock', 'post-grunge']"
Come On In,Washboard Sam,Come On In,Washboard Sam,Washboard Sam 1935-1947: Swinging the Blues,1999,0,162133,False,https://i.scdn.co/image/ab67616d0000b273f20385b554404be7b02a0703,"['chicago blues', 'traditional blues', 'washboard']"
Si Es Que Te Vas,Carlos Vives,Si Es Que Te Vas,Carlos Vives,Coleccion de Oro,2002-06-18,2,262253,False,https://i.scdn.co/image/ab67616d0000b273b04f90eaa2bb8d71465bb9e6,"['colombian pop', 'latin pop', 'vallenato']"
Getaway,KRS-One,Getaway,KRS-One,The Real HipHop,2008,2,187426,True,https://i.scdn.co/image/ab67616d0000b273abb6e84f657e4d444e89a7f7,"['bronx hip hop', 'conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']"
Killing Machine,Aiden,Killing Machine,Aiden,Knives,2009-05-12,11,145440,False,https://i.scdn.co/image/ab67616d0000b27311d201d85a3f22c7109deee6,"['horror punk', 'screamo']"
Exactamente Medianoche,Memphis La Blusera,Exactamente Medianoche,Memphis La Blusera,Nunca Tuve Tanto Blues,1999-01-01,10,338560,False,https://i.scdn.co/image/ab67616d0000b273f4df8cab7435b456458aeeb0,"['argentine rock', 'blues latinoamericano']"
Cool Water,Roger Williams,Cool Water,Roger Williams,Songs Of The Fabulous Century,2000-01-01,0,196598,False,https://i.scdn.co/image/ab67616d0000b273a0e101db8a09115e64c57705,['easy listening']
This House Is Haunted,Alice Cooper,This House Is Haunted,Alice Cooper,The Eyes Of Alice Cooper,2003,8,210546,False,https://i.scdn.co/image/ab67616d0000b2732d601dc8dd9d1882df67266d,"['album rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
Ya Lil' Crumbsnatchers ,Del Tha Funkee Homosapien,Ya Lil' Crumbsnatchers,Del The Funky Homosapien,I Wish My Brother George Was Here,1991-10-15,36,90893,False,https://i.scdn.co/image/ab67616d0000b2732b81a71246533a13e3901878,"['alternative hip hop', 'hip hop', 'oakland hip hop']"
Captin Kut-Cha,Kai Winding,Captin Kut-Cha,Kai Winding,The Trombone Sound,2000-01-01,0,191966,False,https://i.scdn.co/image/ab67616d0000b273c51499ede21310726bd23e45,"['jazz trombone', 'space age pop']"
All I Ask For ,Ill Nino,All I Ask For,Ill Niño,One Nation Underground,2005-09-19,30,219813,False,https://i.scdn.co/image/ab67616d0000b2734410e367ed5c83760b7cbd0e,"['alternative metal', 'industrial metal', 'latin metal', 'nu metal']"
Street Car Blues,Sleepy John Estes,Street car blues,Sleepy John Estes,Blues Collection: The Man Who Cried the Blues 1929-1941 (feat. Hammie Nixon) [Historical Recordings],2006-12-28,0,196653,False,https://i.scdn.co/image/ab67616d0000b2735fc6d931015176ecb9cd0177,"['country blues', 'memphis blues', 'traditional blues']"
Dementia,Schizoid,Dementia,Schizoid Lab,Entering Kadath,2024-03-27,0,494865,False,https://i.scdn.co/image/ab67616d0000b2731cc42de8c18cd7f0448f54a7,
Manuel's Mambo,Cal Tjader,Manuel's Mambo,Cal Tjader,Latin Kick,1959-01-01,19,197266,False,https://i.scdn.co/image/ab67616d0000b2737805ee5a8299d0a8c4a79532,"['cool jazz', 'jazz vibraphone', 'latin jazz']"
I'm Over You ,Rebecca Lynn Howard,I'm Over You,Rebecca Lynn Howard,No Rules [Bonus Edition],2008-06-17,0,243253,False,https://i.scdn.co/image/ab67616d0000b273ed306ace36e544e4058e2603,['country dawn']
Fonsi,Zaïko Langa Langa,"Fonsi (2022, Remasterisé)",Zaïko Langa Langa,"Nippon Banzai Au Japon (2022, Remasterisé)",1986-12-01,10,122500,False,https://i.scdn.co/image/ab67616d0000b2731e5fa80ba89ecea11ba362e4,['soukous']
Vem Pr'a Roda,Tania Maria,Vem Pr'a Roda,Tania Maria,Viva Brazil,2001-10-29,11,271693,False,https://i.scdn.co/image/ab67616d0000b27368c21e21a71e7c02a9c5eefc,['brazilian jazz']
Love Dump ,Static-X,Love Dump,Static-X,Wisconsin Death Trip,1999,44,259800,True,https://i.scdn.co/image/ab67616d0000b2730099efc7034c941135448e94,"['alternative metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal']"
Just In Case,Micachu,Just In Case,Micachu & The Shapes,Jewellery,2009-03-09,11,166426,False,https://i.scdn.co/image/ab67616d0000b273045ddff50fc33f2b7fee7bde,"['experimental', 'experimental pop']"
Pitch In OnA Party,DJ Quik,Pitch In OnA Party,DJ Quik,Balances & Options,2000,47,247120,True,https://i.scdn.co/image/ab67616d0000b273d78de7ed9daff1b52852668b,"['g funk', 'popping', 'west coast rap']"
Elektro Kardiogramm ,Kraftwerk,Elektro Kardiogramm - 2009 Remaster,Kraftwerk,Tour de France (2009 Remaster),2003,12,316373,False,https://i.scdn.co/image/ab67616d0000b273d57ed87e9a1aedcb7a0514ce,"['dusseldorf electronic', 'early synthpop', 'electro', 'proto-techno', 'synthpop']"
Apotoma,Giorgos Tsalikis,Apotoma - Live,Giorgos Tsalikis,Live,2006,4,31440,False,https://i.scdn.co/image/ab67616d0000b27321450b0136bd924f4634de63,"['greek pop', 'laiko']"
Acordeón,Massiel,Acordeón,Massiel,Sola en libertad,1984,21,192680,False,https://i.scdn.co/image/ab67616d0000b273b50edf6626b9deec689de6a3,"['cancion melodica', 'pop romantico', 'ye ye']"
El Amor ,Yahir,"Fue Ella, Fui Yo",Yahir,Otra Historia De Amor,2004-06-28,47,278226,False,https://i.scdn.co/image/ab67616d0000b273efa99e38d112b064eb552d04,"['latin arena pop', 'latin pop', 'mexican pop']"
What's True,Ziggy Marley And The Melody Makers,What's True,Ziggy Marley & The Melody Makers,Conscious Party,1988,13,207333,False,https://i.scdn.co/image/ab67616d0000b2730ebfa3537265a3d6937b7180,"['reggae', 'roots reggae']"
Tonight_ Te Amaré,MDO,"Tonight, Te Amaré",MDO,Subir Al Cielo,2001-02-25,4,211746,False,https://i.scdn.co/image/ab67616d0000b273dd4396eb40735b4ad374821d,"['latin pop', 'puerto rican pop']"
Foam Born  The Backtrack ,Between The Buried And Me,Foam Born (A) The Backtrack,Between The Buried And Me,Colors,2007-09-18,34,133813,False,https://i.scdn.co/image/ab67616d0000b273b1e1e187d3c8e819de1c18db,"['djent', 'melodic metalcore', 'north carolina metal', 'progressive metal']"
Ego is the drug/3am,The Frequency,Ego Is the Drug / 3Am,The Frequency,Morning to 3.A.M.,2009-08-23,0,1054386,False,https://i.scdn.co/image/ab67616d0000b273e99de5d33e91b6b1ed4c3aa2,
Have It Your Way,Leigh Jones,Have It Your Way,Leigh Jones,Music in My Soul,2008-01-01,3,279693,False,https://i.scdn.co/image/ab67616d0000b27302f10d7d677fa8c97e9c9d16,
Era um dia desses,Hélio Ziskind,Era um dia desses,Hélio Ziskind,O Gigante da Floresta,2002-08-08,10,107786,False,https://i.scdn.co/image/ab67616d0000b273aea62f28ced4faae3671f239,['musica infantil']
Waiting For You ,Mississippi John Hurt,Waiting For You,Mississippi John Hurt,Complete Studio Recordings,2000,5,220400,False,https://i.scdn.co/image/ab67616d0000b273f99152883cdc98c6077d3757,"['acoustic blues', 'blues', 'country blues', 'delta blues', 'piedmont blues', 'traditional blues']"
Pig Meat On The Line,Memphis Minnie,Pig Meat On The Line,Memphis Minnie,Queen Of The Blues,1929,2,152733,False,https://i.scdn.co/image/ab67616d0000b273a0816a5391132bebca12bce1,"['acoustic blues', 'blues', 'country blues', 'memphis blues', 'traditional blues']"
We Can Do It,Steel Pulse,We Can Do It,Steel Pulse,Victims,1991-01-01,3,240600,False,https://i.scdn.co/image/ab67616d0000b273a379ac6fb9ed74a20208e7a4,"['reggae', 'roots reggae', 'uk reggae']"
Take The Wheel,Pacha Massive,Take The Wheel,Pacha Massive,If You Want it,2009-09-22,1,212266,False,https://i.scdn.co/image/ab67616d0000b2732e62bac92d23cf8b9be35c2f,['electro jazz']
Smoke,Vanessa Daou,Smoke,Vanessa Daou,Zipless (Songs from the Works of Erica Jong),2013-07-01,20,165640,True,https://i.scdn.co/image/ab67616d0000b2732fc85cd3dc975623dadb2f9a,['downtempo']
"Unda Da Influence"" ",M Sane,Unda Da Influence,M Sane,Unda Da Influence,2002-09-20,0,261160,True,https://i.scdn.co/image/ab67616d0000b2734ed79685e7350c521653511c,['deep g funk']
Sickman,Alice In Chains,Sickman (2022 Remaster),Alice In Chains,Dirt (2022 Remaster),1992-09-29,49,329400,False,https://i.scdn.co/image/ab67616d0000b2731cd131e5e9ad887ad8c1ecb7,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'rock']"
Chains ,THE COOKIES,Chains,The Cookies,Chains - The Early Hits,2016-01-29,21,152764,False,https://i.scdn.co/image/ab67616d0000b273066415f6d0e74f6f65f9eaf8,"['classic girl group', 'sunshine pop']"
Melancholia,The Grip Weeds,Melancholia,The Grip Weeds,Summer of a Thousand Years,2013-09-17,0,206533,False,https://i.scdn.co/image/ab67616d0000b273433fcd6883317890c9ba6815,"['modern power pop', 'underground power pop']"
Bastard,Peppermint Creeps,Bastard,Peppermint Creeps,Cover Up,2008-01-01,0,155960,False,https://i.scdn.co/image/ab67616d0000b273ed287743138fc75e4b063773,"['hard glam', 'sleaze rock']"
Numba 1 ,Kardinal Offishall / Keri Hilson,Numba 1 (Tide Is High),Kardinal Offishall,Ultimate R&B 2009 (International Version),2009-01-01,19,220453,False,https://i.scdn.co/image/ab67616d0000b273a05c9edfd184edfdeece99ce,['canadian old school hip hop']
Peyote,Evolution,Peyote,Evolution,Shiva Technology,1999-03-30,0,436160,False,https://i.scdn.co/image/ab67616d0000b273ad3c627c8b4ed11324bf9cea,
What's in a number & Feed me lies remixes,Theodor Zox,What&#39;s in a number & Feed me lies remixes - Soulrack & Mikel_E Remix,Theodor Zox,What&#39;s in a number EP,2007-10-10,0,357120,False,https://i.scdn.co/image/ab67616d0000b2734ed7518ede0596a9a27285da,
Bellini: Norma: Vanne_ e li cela entrambi,Vincenzo Bellini,"Bellini: Norma, Act 1: ""Vanne, e li cela entrambi"" (Norma, Clotilde)",Vincenzo Bellini,Bellini: Norma,1961,10,266840,False,https://i.scdn.co/image/ab67616d0000b273875ef09239c5f554cc397ef0,"['classical', 'early romantic era', 'italian opera', 'italian romanticism', 'opera']"
If Santa Claus Could Bring You Back To Me,Jimmy Wakely,If Santa Claus Could Bring You Back To Me,Jimmy Wakely,Christmas On The Range,1995-01-01,19,159466,False,https://i.scdn.co/image/ab67616d0000b27340cfd0d12008ebb38d503251,"['arkansas country', 'classic oklahoma country', 'cowboy western', 'western swing']"
Intro: The Dragon,Mix Mob,intro: The Dragon,Mix Mob,So Cal Drunks,2002-01-01,0,24137,False,https://i.scdn.co/image/ab67616d0000b273a7c8033fc26fe173e49985ca,
Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow,James Scott Skinner,Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow,James Scott Skinner,The Strathspey King,2002,0,149240,False,https://i.scdn.co/image/ab67616d0000b273cbef9d36169b1e4f02b28629,['scottish smallpipe']
Wrong End Of The Rainbow,Ronnie Milsap,Wrong End Of The Rainbow,Ronnie Milsap,Inside,1982-05-01,5,244266,False,https://i.scdn.co/image/ab67616d0000b273c4941b642fd4334a01bd3827,"['classic country pop', 'country', 'country road', 'country rock', 'nashville sound']"
Blues Do Elevador,Zeca Baleiro,Blues Do Elevador,Zeca Baleiro,Líricas,2000,15,237973,False,https://i.scdn.co/image/ab67616d0000b273dee551986b9fdb9e57965181,"['brazilian rock', 'mpb', 'musica maranhense']"
The Real Rock,Shinehead,The Real Rock,Shinehead,The Real Rock,1990,3,250866,False,https://i.scdn.co/image/ab67616d0000b273623d3cbe5eeef815143ad355,"['reggae fusion', 'uk reggae']"
The Way I Am,Eminem,The Way I Am,Eminem,The Marshall Mathers LP,2000-05-23,71,290426,True,https://i.scdn.co/image/ab67616d0000b273dbb3dd82da45b7d7f31b1b42,"['detroit hip hop', 'hip hop', 'rap']"
Lizzie And The Rain Man,Billie Jo Spears,Lizzie And The Rain Man,Billie Jo Spears,The Ultimate Collection,2007-01-01,1,212920,False,https://i.scdn.co/image/ab67616d0000b273849e344c99975857049b1398,['classic country pop']
Pocket Full Of Stars,Diesel Boy,Pocket Full of Stars,Diesel Boy,Rode Hard and Put Away Wet,2001,3,152666,False,https://i.scdn.co/image/ab67616d0000b273cd512c2501bc7ade3620f5d8,"['melodic hardcore', 'ska punk', 'skate punk']"
Was Machst Du Mit Dem Knie_ Lieber Hans?,Günter Noris,"Was machst du mit dem Knie, lieber Hans?",Günter Noris,Millennium-Tanzparty,1987-04-01,4,161800,False,https://i.scdn.co/image/ab67616d0000b27363bfa9699c193ab8089bca43,"['ballroom', 'easy listening']"
Chicken Strips ,Smut Peddlers,Chicken Strips - Remastered,Smut Peddlers,The Two Old Ones,2001,7,94506,False,https://i.scdn.co/image/ab67616d0000b273078af2996055e54bc681506a,
Will Not Fade  ),Audio Adrenaline,Will Not Fade,Audio Adrenaline,Hit Parade: The Greatest Hits,2001-01-01,14,228960,False,https://i.scdn.co/image/ab67616d0000b273a9ab5c6f1f8b2cdc50fc0f6b,"['ccm', 'christian alternative rock', 'christian music']"
Beast In the Broch,The Lord Weird Slough Feg,Beast in the Broch,The Lord Weird Slough Feg,Down Among the Deadman,2001-03-01,2,106600,False,https://i.scdn.co/image/ab67616d0000b273285350f494deb33ec0f2e00c,"['nwothm', 'us power metal']"
Perfidia,Eddie Jones,Perfidia,Eddie Jones,Guitar Boogie Fever,2008-06-18,0,117013,False,https://i.scdn.co/image/ab67616d0000b273c939cb03cebb08c4b0dcf49d,
Aviatic,André Verchuren,Aviatic,André Verchuren,Les increvables N2,2004-01-01,0,170213,False,https://i.scdn.co/image/ab67616d0000b273ca6b69648748862e929eb1ed,['bal-musette']
Whirlpool [Live],Seal,"Whirlpool - Live at The Point, Dublin, Ireland 12/16/91",Seal,Seal (Deluxe Edition),1991-05-24,4,362080,False,https://i.scdn.co/image/ab67616d0000b273bf1193bd570121f052615217,"['british soul', 'new wave pop']"
The Up,Utopia,The Up,Utopia,Swing To The Right,1982,5,248706,False,https://i.scdn.co/image/ab67616d0000b27391ab5d5373b38d2373f37bda,['beatlesque']
Plaza de Mayo,Matteo Bonfanti e i maledetti,Plaza De Mayo,Matteo Bonfanti e i Maledetti,Vinicio,2008-11-24,0,159346,False,https://i.scdn.co/image/ab67616d0000b273353abe602150785dc6c92e21,
Dil Naheen Lagda,Naseebo Lal,Dil Naheen Lagda,Naseebo Lal,Chithi Lae ke Kabootar Ja,2002-01-01,0,380813,False,https://i.scdn.co/image/ab67616d0000b2733ce5223d87c92d9bc95dd6ed,"['classic pakistani pop', 'sufi']"
The Train Kept A Rollin,Tiny Bradshaw,The Train Kept-a-Rollin',Tiny Bradshaw,The Train Kept-a-Rollin',2017-12-29,18,170613,False,https://i.scdn.co/image/ab67616d0000b273e45f3f390e037db3d0b349d3,['jump blues']
Main Title,Jerry Goldsmith,Main Title,Jerry Goldsmith,Alien,2007-01-01,39,252186,False,https://i.scdn.co/image/ab67616d0000b2733098280972265dc8ff413b97,"['classic soundtrack', 'orchestral soundtrack', 'soundtrack']"
Keiner außer uns,Kool Savas,Keiner außer uns,Kool Savas,Die besten Tage sind gezählt,2004-04-05,6,77946,False,https://i.scdn.co/image/ab67616d0000b27393f92ecf22af9320a9bee43e,"['german hip hop', 'turkish hip hop']"
The Way It Is,Tesla,The Way It Is,Tesla,Time's Makin' Changes: The Best Of Tesla,1995-01-01,29,308733,False,https://i.scdn.co/image/ab67616d0000b273ad793cbca8b57778625573fb,"['album rock', 'glam metal', 'hard rock', 'sacramento indie']"
Can't Do Me No Good,Otis Spann,Can't Do Me No Good,Otis Spann,The Complete Blue Horizon Sessions,2006-05-06,4,141240,False,https://i.scdn.co/image/ab67616d0000b273b8034170bb723d0de5a9b01b,"['blues', 'boogie-woogie', 'chicago blues', 'jazz blues', 'piano blues', 'traditional blues']"
Luv In the First,Latif,Luv In the First,Latif,Love in the First,2003-01-01,12,265186,False,https://i.scdn.co/image/ab67616d0000b273a52c02f020ab9835ec93098c,
Love Is Gonna Bring Us Back Alive,Rickie Lee Jones,Love Is Gonna Bring Us Back Alive,Rickie Lee Jones,Flying Cowboys,1989-09-26,13,296066,False,https://i.scdn.co/image/ab67616d0000b2738fc48df6afb81de42270dc3a,"['folk', 'singer-songwriter']"
Ancient Airs and Dances _ Suite No. 2: III.  Campanae parisienses  - Aria ,Sir Neville Marriner,"Ancient Airs and Dances (1996 Digital Remaster), Suite No. 2: III. Campanae parisienses (anon.) - Aria (Marin Mersenne)",Ottorino Respighi,Respighi: Orchestral Works,1995-01-10,0,311493,False,https://i.scdn.co/image/ab67616d0000b273b6ef724d0b2fbc111e99ee77,"['classical', 'early modern classical', 'impressionism', 'italian romanticism', 'neoclassicism', 'post-romantic era']"
Prayer For The Dying ,Seal,Prayer for the Dying,Seal,Seal,1994-05-31,41,330266,False,https://i.scdn.co/image/ab67616d0000b27333d4866ed921300e8ef50808,"['british soul', 'new wave pop']"
If Music Be The Food Of Love,Gloria,If Music Be the Food of Love - Live,Glória LGBT+ Choir,The Glória Collection,2011-11-04,0,130933,False,https://i.scdn.co/image/ab67616d0000b2735bfac5c5e6e0b74aa060af28,
The Silver Gate,Dark Fortress,The Silver Gate,Dark Fortress,Eidolon,2008-07-13,12,410000,False,https://i.scdn.co/image/ab67616d0000b2737e144fe8f08582f8f4117a61,"['black metal', 'german black metal', 'melodic black metal']"
Special,Wilshire,Special,Wilshire,New Universe,2003-10-06,11,182360,False,https://i.scdn.co/image/ab67616d0000b273b9a7e7fb749c0ff934fdb8bd,
Follow You Home ,Nickelback,Follow You Home,Nickelback,All the Right Reasons,2005-09-26,40,260333,False,https://i.scdn.co/image/ab67616d0000b27307fb7d8037f3962394c493ca,"['alternative metal', 'canadian rock', 'post-grunge']"
Out Of My Darkness,Legacy Five,Out Of My Darkness,Legacy Five,Monuments,2004-10-26,6,189066,False,https://i.scdn.co/image/ab67616d0000b27384fdee345e3c3721bd46fc48,['southern gospel']
Matarlatanta,Ghorwane,Matarlatanta,Ghorwane,Majurugenta,1993,10,343373,False,https://i.scdn.co/image/ab67616d0000b273c6fab089f0f0bba753d0983b,"['marrabenta', 'musica mocambicana', 'world']"
The Ava Song,Francis Dunnery,The Ava Song,Francis Dunnery,Man,2001,2,257213,False,https://i.scdn.co/image/ab67616d0000b273e3fe8f923db1fd25b7116a06,
Teenage Superstars ,Vaselines,Teenage Superstars,The Vaselines,Enter The Vaselines (Deluxe Edition),1992-05-01,20,207186,False,https://i.scdn.co/image/ab67616d0000b273b92cc9de7940342c83063e69,"['alternative rock', 'lo-fi', 'riot grrrl', 'scottish indie', 'scottish rock']"
Dirty tarraxa 2 ,Nichols,Dirty Tarraxa 2 (feat. Neuza),Nichols,Ladies Night,2009-01-01,3,188760,False,https://i.scdn.co/image/ab67616d0000b273697046eb2cd2213dcb9e927c,"['kizomba', 'kizomba antigas', 'zouk']"
Bully Bully ,Off Broadway,Bully Bully,Off Broadway,On,1980-01-07,7,244866,False,https://i.scdn.co/image/ab67616d0000b27303160ac52b247e95ab429076,['underground power pop']
Looking At You ,MC5,Looking at You,MC5,Back In The USA,1970,36,181306,False,https://i.scdn.co/image/ab67616d0000b27369860edfcb706f081d5695df,"['detroit rock', 'garage rock', 'proto-metal', 'protopunk', 'punk']"
Mentira,Beto Cuevas,Mentira (feat. Ely Guerra),Beto Cuevas,Colateral,2019-11-22,23,261112,False,https://i.scdn.co/image/ab67616d0000b27337351af3b00cd06954f3715b,"['chilean rock', 'latin alternative', 'latin arena pop', 'latin pop', 'rock en espanol']"
Himalaya Dreams,Catia Werneck,Himalaya Dreams,Catia Werneck,Primavera,2010-04-06,0,226173,False,https://i.scdn.co/image/ab67616d0000b273522104ae03c263df48aa8bf0,['bossa nova jazz']
Holy Ground ,Bill & Gloria Gaither,Holy Ground,Bill & Gloria Gaither,Jerusalem Homecoming,2005-01-01,20,311320,False,https://i.scdn.co/image/ab67616d0000b27328f8f8e563c439847640b8a4,['southern gospel']
Comme Si C'était Doux,Julien Clerc,Comme si c'était doux,Julien Clerc,Inédits 1968-1998,1998-03-22,1,108800,False,https://i.scdn.co/image/ab67616d0000b2736a2b863b3a470be351328085,['chanson']
The Fundamental Alienation,Dimmu Borgir,The Fundamental Alienation,Dimmu Borgir,In Sorte Diaboli,2007-04-27,20,317306,False,https://i.scdn.co/image/ab67616d0000b273506db8d0c288b0533eb180a1,"['black metal', 'gothic metal', 'melodic death metal', 'metal', 'norwegian black metal', 'norwegian metal', 'power metal', 'speed metal', 'symphonic black metal', 'symphonic metal', 'viking metal']"
